title,type,release_year,runtime,seasons,imdb_score,imdb_votes,lead_production,production_countries_cnt,lead_genres,genres_cnt,movie_cluster,dbscan_clusters
The Three Stooges,SHOW,1934,19,26.0,8.6,1092.0,US,1,comedy,6,-1,-1
The General,MOVIE,1926,78,0.0,8.2,89766.0,US,1,action,6,0,0
The Best Years of Our Lives,MOVIE,1946,171,0.0,8.1,63026.0,US,1,romance,3,1,1
His Girl Friday,MOVIE,1940,92,0.0,7.8,57835.0,US,1,comedy,3,2,2
In a Lonely Place,MOVIE,1950,94,0.0,7.9,30924.0,US,1,thriller,3,3,3
Stagecoach,MOVIE,1939,96,0.0,7.8,48149.0,US,1,western,2,4,4
It's a Wonderful Life,MOVIE,1946,130,0.0,8.6,444243.0,US,1,drama,5,5,5
Detour,MOVIE,1945,66,0.0,7.3,17233.0,US,1,thriller,3,3,3
My Man Godfrey,MOVIE,1936,95,0.0,8.0,23532.0,US,1,comedy,3,2,2
Marihuana,MOVIE,1936,57,0.0,4.0,864.0,US,1,crime,2,6,6
Intolerance: Love's Struggle Throughout the Ages,MOVIE,1916,197,0.0,7.7,15242.0,US,1,history,2,-1,-1
The Stranger,MOVIE,1946,95,0.0,7.3,26293.0,US,1,thriller,3,3,3
The Phantom of the Opera,MOVIE,1925,101,0.0,7.5,18190.0,US,1,horror,1,7,7
Tell Your Children,MOVIE,1938,66,0.0,3.7,8617.0,US,1,drama,2,5,5
The Most Dangerous Game,MOVIE,1932,63,0.0,7.1,12203.0,US,1,thriller,3,3,3
Wuthering Heights,MOVIE,1939,104,0.0,7.5,17956.0,US,1,drama,2,5,5
The Woman in the Window,MOVIE,1944,99,0.0,7.6,15909.0,US,1,drama,3,5,5
"Steamboat Bill, Jr.",MOVIE,1928,70,0.0,7.8,14499.0,US,1,drama,5,5,5
The Little Foxes,MOVIE,1941,115,0.0,7.9,11775.0,US,1,romance,2,1,1
Stella Dallas,MOVIE,1937,106,0.0,7.4,5440.0,US,1,drama,2,5,5
Dodsworth,MOVIE,1936,101,0.0,7.8,9063.0,US,1,romance,2,1,1
Sands of Iwo Jima,MOVIE,1950,100,0.0,7.0,10399.0,US,1,drama,4,5,5
The Pride of the Yankees,MOVIE,1942,128,0.0,7.6,10866.0,US,1,drama,3,5,5
Things to Come,MOVIE,1936,89,0.0,6.6,7965.0,GB,1,scifi,3,49,49
Cyrano de Bergerac,MOVIE,1950,112,0.0,7.4,4085.0,US,1,drama,2,5,5
Scarlet Street,MOVIE,1945,103,0.0,7.8,16405.0,US,1,thriller,2,3,3
Made for Each Other,MOVIE,1939,92,0.0,6.3,3582.0,US,1,comedy,3,2,2
The Thief of Bagdad,MOVIE,1924,149,0.0,7.7,6134.0,US,1,romance,3,1,1
D.O.A.,MOVIE,1950,83,0.0,7.2,11816.0,US,1,crime,4,6,6
